,Car_Title,Car_Price,Car_Year,Car_Type_Door,Car_Mileage,Car_engine_size,Car_Horse_PW,Car_Type_Vehicle,Car_Filling_in,Car_Make
8648, Mazda CX-5 2.0 SKYACTIV-G SE-L Nav (s/s) 5dr     ,18495,2018,SUV,15800,2.0L,165PS,Manual,Petrol,Mazda
8649, Mazda MX-5 RF 1.5 SKYACTIV-G Sport Nav+ 2dr     ,18495,2019,Convertible,8850,1.5L,132PS,Manual,Petrol,Mazda
8650, Mazda CX-5 2.0 SKYACTIV-G SE-L Nav (s/s) 5dr     ,19795,2018,SUV,6900,2.0L,165PS,Manual,Petrol,Mazda
8651, Mazda3 2.0 SKYACTIV-G MHEV GT Sport Tech (s/s) 5dr     ,20995,2019,Hatchback,5490,2.0L,122PS,Manual,Petrol,Mazda3
8652, Mazda6 2.2 SKYACTIV-D Sport Nav+ Tourer Auto (s/s) 5dr     ,21295,2019,Estate,10500,2.2L,184PS,Automatic,Diesel,Mazda6
8653, Mazda6 2.0 SKYACTIV-G Sport Nav+ Tourer (s/s) 5dr     ,21795,2019,Estate,4000,2.0L,165PS,Manual,Petrol,Mazda6
8654, Mazda3 2.0 SKYACTIV-X MHEV GT Sport Tech (s/s) 5dr     ,22995,2019,Hatchback,1200,2.0L,180PS,Manual,Petrol,Mazda3
8655, Vauxhall Corsa 3Dr HAT 1.4 75ps Energy A/C     ,7150,2018,Hatchback,33258,1.4L,75PS,Manual,Petrol,Vauxhall
8656, Vauxhall Corsa 3Dr HAT 1.4 90ps Energy A/C     ,7250,2016,Hatchback,21873,1.4L,90PS,Manual,Petrol,Vauxhall
8657, Vauxhall Mokka X HAT 5Dr 1.6 115ps SE Start+stop     ,7250,2014,Hatchback,47937,1.6L,113BHP,Manual,Petrol,Vauxhall
8658, Vauxhall Corsa 3Dr HAT 1.4 75ps Limited Edtn eFX     ,7295,2016,Hatchback,17804,1.4L,75PS,Manual,Petrol,Vauxhall
8659, Vauxhall Corsa 3Dr HAT 1.4 75ps Energy eFX A/C     ,7450,2017,Hatchback,13500,1.4L,75PS,Manual,Petrol,Vauxhall
8660, Vauxhall Corsa 3Dr HAT 1.4 90ps Energy A/C AU     ,7450,2016,Hatchback,44605,1.4L,90PS,Automatic,Petrol,Vauxhall
8661, Vauxhall Corsa 1.4 [75] Energy 3dr [AC]     ,7450,2018,Hatchback,17304,1.4L,75PS,Manual,Petrol,Vauxhall
8662, Vauxhall Corsa 5Dr HAT 1.4 75ps Limited Edtn eFX     ,7450,2016,Hatchback,29500,1.4L,75PS,Manual,Petrol,Vauxhall
8663, Vauxhall Corsa 3Dr HAT 1.4 75ps Limited Edtn eFX     ,7750,2017,Hatchback,13942,1.4L,75PS,Manual,Petrol,Vauxhall
8664, Vauxhall Meriva 1.4i VVT Turbo 120ps SE A/C 5dr     ,7990,2016,MPV,18222,1.4L,118BHP,Manual,Petrol,Vauxhall
8665, Citroen Grand C4 SpaceTourer 1.5L Feel BlueHDi 5dr     ,16150,2019,MPV,5677,1.5L,127BHP,Manual,Diesel,Citroen
